"county_areas","region","date","month","year","quarter","homicide_uns","offences_against_the_person_uns","sexual_offences_uns","burglary_uns","robbery_uns","theft_and_handling_uns","fraud_and_forgery_uns","criminal_damage_uns","drugs_offences_uns","public_order_offences_uns","all_other_offences_uns","motoring_offences_uns","admin_finalised_uns"
"Staffordshire","West Midlands","2016-09-01","Sep",2016,"Q3_2016",0,67,7,3,0,8,0,9,1,10,2,22,25
"Suffolk","East of England","2016-09-01","Sep",2016,"Q3_2016",0,25,1,0,2,2,0,1,2,3,0,5,14
"Surrey","South East","2016-09-01","Sep",2016,"Q3_2016",0,42,7,1,0,5,5,2,4,5,0,8,12
"Sussex","South East","2016-09-01","Sep",2016,"Q3_2016",0,58,14,6,0,14,2,7,2,11,2,14,12
"Thames Valley","Thames and Chiltern","2016-09-01","Sep",2016,"Q3_2016",1,103,35,6,4,16,5,9,5,11,4,46,32
"Warwickshire","West Midlands","2016-09-01","Sep",2016,"Q3_2016",0,11,4,2,0,3,2,2,1,4,0,10,5
"West Mercia","West Midlands","2016-09-01","Sep",2016,"Q3_2016",0,61,9,4,0,8,0,5,1,7,0,58,16
"West Midlands","West Midlands","2016-09-01","Sep",2016,"Q3_2016",0,188,34,15,17,43,8,17,12,53,11,83,76
"West Yorkshire","Yorkshire and Humberside","2016-09-01","Sep",2016,"Q3_2016",0,136,16,13,3,19,11,23,17,20,2,50,35
"Wiltshire","Oxfordshire","2016-09-01","Sep",2016,"Q3_2016",0,20,0,6,0,4,0,0,0,4,0,7,1
"Avon and Somerset","South West","2016-10-01","Oct",2016,"Q4_2016",1,67,9,6,0,28,1,16,7,17,1,37,23
"Bedfordshire","Thames and Chiltern","2016-10-01","Oct",2016,"Q4_2016",0,25,2,0,1,6,1,2,1,4,1,34,14
"Cambridgeshire","East of England","2016-10-01","Oct",2016,"Q4_2016",0,18,2,1,4,9,0,3,2,3,0,9,16
"Cheshire","Mersey-Cheshire","2016-10-01","Oct",2016,"Q4_2016",0,65,14,2,1,9,1,9,2,11,3,22,8
"Cleveland","North East","2016-10-01","Oct",2016,"Q4_2016",0,36,5,6,2,14,1,12,2,1,0,9,4
"Cumbria","North West","2016-10-01","Oct",2016,"Q4_2016",0,8,0,0,0,3,0,4,1,3,0,9,3
"Derbyshire","East Midlands","2016-10-01","Oct",2016,"Q4_2016",0,31,1,9,1,21,2,7,6,7,2,21,11
"Devon and Cornwall","South West","2016-10-01","Oct",2016,"Q4_2016",0,33,6,2,0,4,3,5,4,11,2,20,12
"Dorset","Oxfordshire","2016-10-01","Oct",2016,"Q4_2016",0,19,1,4,0,3,2,2,1,2,0,9,12
"Durham","North East","2016-10-01","Oct",2016,"Q4_2016",0,20,2,2,0,6,1,1,2,4,0,3,2
"Dyfed Powys","Cymru/Wales","2016-10-01","Oct",2016,"Q4_2016",0,15,2,1,1,1,0,5,1,2,0,15,1
"Essex","East of England","2016-10-01","Oct",2016,"Q4_2016",3,68,17,4,0,16,11,5,5,6,5,33,14
"Gloucestershire","South West","2016-10-01","Oct",2016,"Q4_2016",0,19,0,0,1,6,2,1,0,4,0,6,7
"GreaterManchester","North West","2016-10-01","Oct",2016,"Q4_2016",0,135,31,6,3,7,3,18,10,11,7,70,21
"Gwent","Cymru/Wales","2016-10-01","Oct",2016,"Q4_2016",0,21,1,3,0,7,0,4,4,3,1,14,4
"Hampshire","Oxfordshire","2016-10-01","Oct",2016,"Q4_2016",1,47,13,2,1,7,5,6,1,14,2,15,18
"Hertfordshire","Thames and Chiltern","2016-10-01","Oct",2016,"Q4_2016",0,56,7,2,0,14,2,8,6,11,1,34,12
"Humberside","Yorkshire and Humberside","2016-10-01","Oct",2016,"Q4_2016",1,24,3,4,6,10,1,5,3,5,0,11,18
"Kent","South East","2016-10-01","Oct",2016,"Q4_2016",0,88,9,4,2,14,3,12,1,16,3,12,15
"Lancashire","North West","2016-10-01","Oct",2016,"Q4_2016",0,55,3,3,5,8,2,6,11,16,4,43,12
"Leicestershire","East Midlands","2016-10-01","Oct",2016,"Q4_2016",0,22,6,3,4,7,4,6,5,12,1,22,6
"Lincolnshire","East Midlands","2016-10-01","Oct",2016,"Q4_2016",2,30,0,0,0,6,1,1,1,8,3,37,7
"Merseyside","Mersey-Cheshire","2016-10-01","Oct",2016,"Q4_2016",1,54,6,1,1,6,3,9,17,13,5,24,22
"Metropolitan and City","Greater London","2016-10-01","Oct",2016,"Q4_2016",14,753,63,40,34,149,53,66,101,150,26,290,224
"Norfolk","East of England","2016-10-01","Oct",2016,"Q4_2016",0,42,6,0,1,6,5,6,3,4,2,4,9
"Northamptonshire","East Midlands","2016-10-01","Oct",2016,"Q4_2016",0,32,0,3,1,8,0,2,1,3,3,12,8
"Northumbria","North East","2016-10-01","Oct",2016,"Q4_2016",0,93,17,7,5,23,1,15,7,34,3,38,19
"North Wales","Cymru/Wales","2016-10-01","Oct",2016,"Q4_2016",1,39,6,2,0,7,4,4,0,6,1,15,10
"North Yorkshire","Yorkshire and Humberside","2016-10-01","Oct",2016,"Q4_2016",0,19,3,3,0,7,1,3,2,6,1,14,8
"Nottinghamshire","East Midlands","2016-10-01","Oct",2016,"Q4_2016",1,80,10,6,1,21,0,9,8,19,0,39,21
"South Wales","Cymru/Wales","2016-10-01","Oct",2016,"Q4_2016",0,135,13,7,6,14,3,11,6,21,3,42,12
"South Yorkshire","Yorkshire and Humberside","2016-10-01","Oct",2016,"Q4_2016",0,50,0,6,3,20,3,12,5,8,1,22,27
"Staffordshire","West Midlands","2016-10-01","Oct",2016,"Q4_2016",0,68,8,3,1,5,4,9,4,6,1,31,16
"Suffolk","East of England","2016-10-01","Oct",2016,"Q4_2016",0,26,2,1,1,4,1,2,3,7,1,6,12
"Surrey","South East","2016-10-01","Oct",2016,"Q4_2016",0,27,7,1,2,8,3,1,0,6,2,5,11
"Sussex","South East","2016-10-01","Oct",2016,"Q4_2016",0,32,6,2,0,5,4,7,2,8,2,20,10
"Thames Valley","Thames and Chiltern","2016-10-01","Oct",2016,"Q4_2016",0,120,30,8,5,15,7,14,8,17,2,35,26
"Warwickshire","West Midlands","2016-10-01","Oct",2016,"Q4_2016",0,13,1,0,0,1,3,1,0,5,0,14,7
"West Mercia","West Midlands","2016-10-01","Oct",2016,"Q4_2016",0,39,6,4,4,7,3,4,1,9,0,28,11
"West Midlands","West Midlands","2016-10-01","Oct",2016,"Q4_2016",1,192,29,17,6,37,2,17,15,54,5,91,92
"West Yorkshire","Yorkshire and Humberside","2016-10-01","Oct",2016,"Q4_2016",1,134,21,10,2,18,1,17,3,17,3,53,40
"Wiltshire","Oxfordshire","2016-10-01","Oct",2016,"Q4_2016",0,15,2,0,0,3,0,6,2,2,0,5,6
"Avon and Somerset","South West","2016-11-01","Nov",2016,"Q4_2016",0,74,14,8,0,9,4,10,4,9,4,29,29
"Bedfordshire","Thames and Chiltern","2016-11-01","Nov",2016,"Q4_2016",0,20,3,0,0,6,0,3,1,2,2,23,18
"Cambridgeshire","East of England","2016-11-01","Nov",2016,"Q4_2016",0,29,3,4,2,8,0,2,1,7,1,7,13
"Cheshire","Mersey-Cheshire","2016-11-01","Nov",2016,"Q4_2016",0,46,12,4,3,11,2,7,1,15,0,19,12
"Cleveland","North East","2016-11-01","Nov",2016,"Q4_2016",0,35,2,4,2,12,1,14,7,9,6,8,3
"Cumbria","North West","2016-11-01","Nov",2016,"Q4_2016",0,15,0,2,1,5,0,2,0,6,4,5,1
"Derbyshire","East Midlands","2016-11-01","Nov",2016,"Q4_2016",0,45,0,4,1,3,0,6,2,4,0,13,9
"Devon and Cornwall","South West","2016-11-01","Nov",2016,"Q4_2016",1,37,2,0,0,6,0,5,1,9,5,17,7
"Dorset","Oxfordshire","2016-11-01","Nov",2016,"Q4_2016",0,21,3,2,0,2,2,2,1,4,1,12,11
"Durham","North East","2016-11-01","Nov",2016,"Q4_2016",1,25,2,4,0,14,0,2,1,3,1,10,4
"Dyfed Powys","Cymru/Wales","2016-11-01","Nov",2016,"Q4_2016",0,12,5,0,0,1,0,3,2,1,2,14,0
"Essex","East of England","2016-11-01","Nov",2016,"Q4_2016",0,66,13,2,0,9,3,7,2,7,3,22,16
"Gloucestershire","South West","2016-11-01","Nov",2016,"Q4_2016",0,23,1,1,0,2,2,3,0,5,0,7,10
"GreaterManchester","North West","2016-11-01","Nov",2016,"Q4_2016",4,127,38,6,2,17,3,11,8,19,8,80,17
"Gwent","Cymru/Wales","2016-11-01","Nov",2016,"Q4_2016",1,15,3,5,0,8,1,3,1,4,0,16,3
"Hampshire","Oxfordshire","2016-11-01","Nov",2016,"Q4_2016",1,55,11,4,1,13,2,5,6,13,3,20,16
"Hertfordshire","Thames and Chiltern","2016-11-01","Nov",2016,"Q4_2016",0,50,4,4,2,15,6,4,5,6,0,29,16
"Humberside","Yorkshire and Humberside","2016-11-01","Nov",2016,"Q4_2016",0,51,9,2,2,4,1,5,5,9,2,15,9
"Kent","South East","2016-11-01","Nov",2016,"Q4_2016",3,78,9,10,0,16,6,9,11,14,3,26,26
"Lancashire","North West","2016-11-01","Nov",2016,"Q4_2016",0,61,2,5,8,15,2,6,1,15,2,52,15
"Leicestershire","East Midlands","2016-11-01","Nov",2016,"Q4_2016",1,38,10,1,0,12,2,11,0,3,2,21,7
"Lincolnshire","East Midlands","2016-11-01","Nov",2016,"Q4_2016",0,47,0,0,0,12,2,11,2,5,2,25,12
"Merseyside","Mersey-Cheshire","2016-11-01","Nov",2016,"Q4_2016",1,80,18,5,0,12,2,8,11,12,1,55,18
"Metropolitan and City","Greater London","2016-11-01","Nov",2016,"Q4_2016",9,749,107,44,31,192,52,82,97,153,27,268,226
"Norfolk","East of England","2016-11-01","Nov",2016,"Q4_2016",0,19,1,1,0,6,0,5,4,6,1,14,10
"Northamptonshire","East Midlands","2016-11-01","Nov",2016,"Q4_2016",0,25,1,2,0,8,0,10,2,3,0,18,8
"Northumbria","North East","2016-11-01","Nov",2016,"Q4_2016",1,83,31,21,2,22,7,21,6,25,8,47,8
"North Wales","Cymru/Wales","2016-11-01","Nov",2016,"Q4_2016",0,39,9,1,0,1,1,5,2,3,0,10,5
"North Yorkshire","Yorkshire and Humberside","2016-11-01","Nov",2016,"Q4_2016",0,40,0,2,0,10,0,1,0,8,1,19,9
"Nottinghamshire","East Midlands","2016-11-01","Nov",2016,"Q4_2016",1,69,20,2,3,12,5,13,13,28,2,27,12
"South Wales","Cymru/Wales","2016-11-01","Nov",2016,"Q4_2016",1,118,14,5,0,8,2,7,8,16,3,29,40
"South Yorkshire","Yorkshire and Humberside","2016-11-01","Nov",2016,"Q4_2016",0,77,3,6,6,23,2,17,2,12,1,27,41
"Staffordshire","West Midlands","2016-11-01","Nov",2016,"Q4_2016",0,69,6,2,0,6,4,5,5,13,2,22,14
"Suffolk","East of England","2016-11-01","Nov",2016,"Q4_2016",0,15,2,3,0,1,1,4,5,2,0,1,10
"Surrey","South East","2016-11-01","Nov",2016,"Q4_2016",0,34,12,2,0,3,2,6,1,3,0,10,9
"Sussex","South East","2016-11-01","Nov",2016,"Q4_2016",0,52,15,3,5,8,2,3,4,10,1,12,30
"Thames Valley","Thames and Chiltern","2016-11-01","Nov",2016,"Q4_2016",0,104,28,17,8,20,2,4,13,36,11,47,29
"Warwickshire","West Midlands","2016-11-01","Nov",2016,"Q4_2016",0,14,5,1,0,2,1,0,0,7,0,16,9
"West Mercia","West Midlands","2016-11-01","Nov",2016,"Q4_2016",0,47,13,2,2,13,2,9,7,13,2,40,17
"West Midlands","West Midlands","2016-11-01","Nov",2016,"Q4_2016",3,196,35,25,14,38,5,9,16,33,8,57,63
"West Yorkshire","Yorkshire and Humberside","2016-11-01","Nov",2016,"Q4_2016",2,108,21,10,1,26,6,11,11,26,1,55,26
"Wiltshire","Oxfordshire","2016-11-01","Nov",2016,"Q4_2016",0,10,2,0,1,1,2,2,1,6,0,6,0
"Avon and Somerset","South West","2016-12-01","Dec",2016,"Q4_2016",2,70,15,12,0,15,6,11,5,17,5,19,30
"Bedfordshire","Thames and Chiltern","2016-12-01","Dec",2016,"Q4_2016",0,31,1,0,2,14,0,1,0,1,2,24,22
"Cambridgeshire","East of England","2016-12-01","Dec",2016,"Q4_2016",0,16,1,0,0,9,1,4,1,5,0,10,13
"Cheshire","Mersey-Cheshire","2016-12-01","Dec",2016,"Q4_2016",1,62,7,0,0,3,0,4,1,5,1,15,11
"Cleveland","North East","2016-12-01","Dec",2016,"Q4_2016",0,29,0,5,1,9,2,8,5,9,1,10,11
"Cumbria","North West","2016-12-01","Dec",2016,"Q4_2016",0,6,0,1,0,2,0,2,1,5,0,7,1
"Derbyshire","East Midlands","2016-12-01","Dec",2016,"Q4_2016",0,38,0,3,2,5,2,5,1,5,0,10,11
"Devon and Cornwall","South West","2016-12-01","Dec",2016,"Q4_2016",0,49,2,2,1,4,0,5,3,7,2,20,9
"Dorset","Oxfordshire","2016-12-01","Dec",2016,"Q4_2016",0,12,1,3,0,1,2,1,2,5,0,5,7
"Durham","North East","2016-12-01","Dec",2016,"Q4_2016",0,19,0,3,0,7,0,7,1,7,0,8,4
"Dyfed Powys","Cymru/Wales","2016-12-01","Dec",2016,"Q4_2016",1,17,1,2,0,1,0,0,1,3,0,13,6
"Essex","East of England","2016-12-01","Dec",2016,"Q4_2016",1,58,7,7,2,15,3,5,3,6,4,30,11
"Gloucestershire","South West","2016-12-01","Dec",2016,"Q4_2016",0,13,0,1,1,3,0,3,2,3,0,2,10
"GreaterManchester","North West","2016-12-01","Dec",2016,"Q4_2016",0,114,25,4,5,12,1,8,8,12,5,65,23
"Gwent","Cymru/Wales","2016-12-01","Dec",2016,"Q4_2016",0,24,2,2,0,2,0,4,3,3,0,15,1
"Hampshire","Oxfordshire","2016-12-01","Dec",2016,"Q4_2016",0,34,6,0,0,10,4,3,2,13,1,9,19
"Hertfordshire","Thames and Chiltern","2016-12-01","Dec",2016,"Q4_2016",0,32,1,2,0,10,4,4,2,7,2,24,20
"Humberside","Yorkshire and Humberside","2016-12-01","Dec",2016,"Q4_2016",0,37,8,6,1,12,0,6,6,13,0,9,4
"Kent","South East","2016-12-01","Dec",2016,"Q4_2016",2,73,7,1,0,24,3,3,4,9,6,17,18
"Lancashire","North West","2016-12-01","Dec",2016,"Q4_2016",0,63,0,2,0,10,1,12,4,7,4,32,16
"Leicestershire","East Midlands","2016-12-01","Dec",2016,"Q4_2016",0,30,6,4,2,5,1,4,0,2,0,24,11
"Lincolnshire","East Midlands","2016-12-01","Dec",2016,"Q4_2016",0,31,0,2,1,10,4,2,1,4,4,29,17
"Merseyside","Mersey-Cheshire","2016-12-01","Dec",2016,"Q4_2016",0,59,8,0,0,14,0,10,7,3,4,27,19
"Metropolitan and City","Greater London","2016-12-01","Dec",2016,"Q4_2016",7,637,69,41,31,129,42,71,103,130,20,211,267
"Norfolk","East of England","2016-12-01","Dec",2016,"Q4_2016",0,31,2,0,0,7,0,4,1,5,0,5,14
"Northamptonshire","East Midlands","2016-12-01","Dec",2016,"Q4_2016",1,28,0,0,1,5,1,5,2,3,0,11,19
"Northumbria","North East","2016-12-01","Dec",2016,"Q4_2016",2,84,22,14,6,38,7,16,11,30,2,103,27
"North Wales","Cymru/Wales","2016-12-01","Dec",2016,"Q4_2016",0,28,7,1,0,1,0,4,1,6,0,11,8
"North Yorkshire","Yorkshire and Humberside","2016-12-01","Dec",2016,"Q4_2016",0,29,2,2,0,7,4,4,1,6,2,12,4
"Nottinghamshire","East Midlands","2016-12-01","Dec",2016,"Q4_2016",1,72,12,4,1,21,0,12,7,13,1,21,44
"South Wales","Cymru/Wales","2016-12-01","Dec",2016,"Q4_2016",0,76,5,2,2,10,2,9,6,17,3,18,17
"South Yorkshire","Yorkshire and Humberside","2016-12-01","Dec",2016,"Q4_2016",1,72,1,5,2,8,0,13,7,9,0,27,20
"Staffordshire","West Midlands","2016-12-01","Dec",2016,"Q4_2016",0,42,5,4,0,11,1,9,8,12,1,20,8
"Suffolk","East of England","2016-12-01","Dec",2016,"Q4_2016",1,15,0,1,0,0,0,2,4,5,0,5,11
"Surrey","South East","2016-12-01","Dec",2016,"Q4_2016",0,33,5,1,0,1,2,3,4,3,1,4,11
"Sussex","South East","2016-12-01","Dec",2016,"Q4_2016",0,34,6,0,2,3,2,3,3,4,1,16,16
"Thames Valley","Thames and Chiltern","2016-12-01","Dec",2016,"Q4_2016",0,99,14,7,7,10,1,4,10,31,3,40,40
"Warwickshire","West Midlands","2016-12-01","Dec",2016,"Q4_2016",0,16,0,2,0,3,2,1,0,2,1,13,3
"West Mercia","West Midlands","2016-12-01","Dec",2016,"Q4_2016",0,38,11,5,1,7,2,6,2,8,2,34,12
"West Midlands","West Midlands","2016-12-01","Dec",2016,"Q4_2016",3,173,29,7,10,49,7,10,13,28,7,52,80
"West Yorkshire","Yorkshire and Humberside","2016-12-01","Dec",2016,"Q4_2016",2,108,24,20,10,17,8,12,6,12,5,46,37
"Wiltshire","Oxfordshire","2016-12-01","Dec",2016,"Q4_2016",0,11,5,1,0,2,0,3,2,3,0,4,5
"Avon and Somerset","South West","2017-01-01","Jan",2017,"Q1_2017",1,60,25,4,1,13,7,3,7,15,6,27,21
"Bedfordshire","Thames and Chiltern","2017-01-01","Jan",2017,"Q1_2017",0,13,0,1,1,2,1,3,0,3,0,15,22
"Cambridgeshire","East of England","2017-01-01","Jan",2017,"Q1_2017",0,26,0,1,0,8,0,2,0,2,0,6,11
"Cheshire","Mersey-Cheshire","2017-01-01","Jan",2017,"Q1_2017",2,48,8,2,1,8,0,2,2,10,4,22,15
"Cleveland","North East","2017-01-01","Jan",2017,"Q1_2017",0,39,1,3,3,8,2,8,6,8,0,9,6
"Cumbria","North West","2017-01-01","Jan",2017,"Q1_2017",0,14,0,1,0,1,0,0,1,6,1,17,2
"Derbyshire","East Midlands","2017-01-01","Jan",2017,"Q1_2017",0,44,1,6,2,22,1,10,6,10,3,22,14
"Devon and Cornwall","South West","2017-01-01","Jan",2017,"Q1_2017",1,45,1,3,0,8,1,8,4,8,1,15,6
"Dorset","Oxfordshire","2017-01-01","Jan",2017,"Q1_2017",1,16,2,0,2,4,2,1,0,3,0,7,9
"Durham","North East","2017-01-01","Jan",2017,"Q1_2017",0,26,0,3,1,11,0,3,0,7,0,10,3
"Dyfed Powys","Cymru/Wales","2017-01-01","Jan",2017,"Q1_2017",0,16,1,0,0,4,0,4,3,5,1,10,2
"Essex","East of England","2017-01-01","Jan",2017,"Q1_2017",1,61,25,8,6,8,4,6,6,5,3,26,12
"Gloucestershire","South West","2017-01-01","Jan",2017,"Q1_2017",0,15,0,0,0,2,1,0,0,2,0,4,7
"GreaterManchester","North West","2017-01-01","Jan",2017,"Q1_2017",2,118,35,6,8,13,2,10,3,13,3,58,12
"Gwent","Cymru/Wales","2017-01-01","Jan",2017,"Q1_2017",0,31,2,1,0,6,2,2,6,3,0,8,8
"Hampshire","Oxfordshire","2017-01-01","Jan",2017,"Q1_2017",0,50,8,3,0,13,3,3,8,6,5,26,20
"Hertfordshire","Thames and Chiltern","2017-01-01","Jan",2017,"Q1_2017",0,50,2,2,0,21,2,6,2,10,2,53,14
"Humberside","Yorkshire and Humberside","2017-01-01","Jan",2017,"Q1_2017",0,35,11,2,5,6,1,3,2,5,2,19,4
"Kent","South East","2017-01-01","Jan",2017,"Q1_2017",0,96,5,5,4,20,1,8,5,16,2,20,21
"Lancashire","North West","2017-01-01","Jan",2017,"Q1_2017",0,60,2,4,1,15,2,7,3,10,6,38,11
"Leicestershire","East Midlands","2017-01-01","Jan",2017,"Q1_2017",0,34,12,2,0,5,3,9,5,9,0,23,15
"Lincolnshire","East Midlands","2017-01-01","Jan",2017,"Q1_2017",0,30,0,0,0,5,1,1,5,7,2,37,34
"Merseyside","Mersey-Cheshire","2017-01-01","Jan",2017,"Q1_2017",2,55,10,4,0,7,8,6,3,11,1,32,15
"Metropolitan and City","Greater London","2017-01-01","Jan",2017,"Q1_2017",9,750,66,47,38,178,46,79,97,185,34,192,216
"Norfolk","East of England","2017-01-01","Jan",2017,"Q1_2017",0,22,1,0,1,9,1,7,1,6,1,6,10
"Northamptonshire","East Midlands","2017-01-01","Jan",2017,"Q1_2017",0,30,1,1,7,4,1,6,1,5,0,15,16
"Northumbria","North East","2017-01-01","Jan",2017,"Q1_2017",0,96,11,6,2,18,1,13,4,21,1,36,12
"North Wales","Cymru/Wales","2017-01-01","Jan",2017,"Q1_2017",0,42,6,4,0,5,2,6,0,4,2,8,5
"North Yorkshire","Yorkshire and Humberside","2017-01-01","Jan",2017,"Q1_2017",0,36,1,6,0,17,2,3,3,7,1,12,4
"Nottinghamshire","East Midlands","2017-01-01","Jan",2017,"Q1_2017",2,62,14,5,2,26,0,12,11,14,2,15,38
"South Wales","Cymru/Wales","2017-01-01","Jan",2017,"Q1_2017",0,110,8,3,5,14,5,10,6,16,3,61,14
"South Yorkshire","Yorkshire and Humberside","2017-01-01","Jan",2017,"Q1_2017",0,62,1,6,5,16,1,10,1,7,0,21,17
"Staffordshire","West Midlands","2017-01-01","Jan",2017,"Q1_2017",0,60,7,5,0,13,8,5,6,12,0,34,13
"Suffolk","East of England","2017-01-01","Jan",2017,"Q1_2017",0,18,0,0,1,1,2,1,1,7,1,7,8
"Surrey","South East","2017-01-01","Jan",2017,"Q1_2017",0,33,3,1,0,6,2,2,0,2,2,10,5
"Sussex","South East","2017-01-01","Jan",2017,"Q1_2017",0,46,13,2,0,5,1,5,5,11,3,16,17
"Thames Valley","Thames and Chiltern","2017-01-01","Jan",2017,"Q1_2017",0,133,33,7,4,19,2,9,5,31,8,49,31
"Warwickshire","West Midlands","2017-01-01","Jan",2017,"Q1_2017",0,16,2,0,0,5,0,5,2,6,1,12,4
"West Mercia","West Midlands","2017-01-01","Jan",2017,"Q1_2017",0,44,12,3,0,6,3,10,7,24,3,27,6
"West Midlands","West Midlands","2017-01-01","Jan",2017,"Q1_2017",0,168,26,7,19,50,13,8,12,57,8,51,81
"West Yorkshire","Yorkshire and Humberside","2017-01-01","Jan",2017,"Q1_2017",0,118,26,13,7,26,3,13,8,21,5,71,38
"Wiltshire","Oxfordshire","2017-01-01","Jan",2017,"Q1_2017",0,16,0,2,0,2,1,1,0,2,0,11,3
"Avon and Somerset","South West","2017-02-01","Feb",2017,"Q1_2017",1,74,20,6,0,15,2,5,2,14,1,27,20
"Bedfordshire","Thames and Chiltern","2017-02-01","Feb",2017,"Q1_2017",0,26,1,2,2,4,1,1,1,10,0,20,15
"Cambridgeshire","East of England","2017-02-01","Feb",2017,"Q1_2017",0,29,2,2,0,6,0,5,3,1,0,7,17
"Cheshire","Mersey-Cheshire","2017-02-01","Feb",2017,"Q1_2017",0,47,5,2,0,16,2,6,3,18,3,26,5
"Cleveland","North East","2017-02-01","Feb",2017,"Q1_2017",0,32,1,1,1,11,3,6,7,5,1,5,4
"Cumbria","North West","2017-02-01","Feb",2017,"Q1_2017",0,13,0,2,0,5,1,3,1,2,0,8,5
"Derbyshire","East Midlands","2017-02-01","Feb",2017,"Q1_2017",2,41,1,2,6,5,1,6,2,6,1,8,8
"Devon and Cornwall","South West","2017-02-01","Feb",2017,"Q1_2017",0,32,2,2,0,7,1,7,2,7,0,24,5
"Dorset","Oxfordshire","2017-02-01","Feb",2017,"Q1_2017",0,15,2,0,0,2,0,3,2,9,1,8,8
"Durham","North East","2017-02-01","Feb",2017,"Q1_2017",0,24,0,3,0,9,3,4,0,9,1,7,3
"Dyfed Powys","Cymru/Wales","2017-02-01","Feb",2017,"Q1_2017",0,8,1,0,0,1,0,1,2,3,0,7,1
"Essex","East of England","2017-02-01","Feb",2017,"Q1_2017",0,79,13,5,6,13,10,3,8,6,1,26,14
"Gloucestershire","South West","2017-02-01","Feb",2017,"Q1_2017",0,13,0,2,0,3,0,4,3,4,0,5,6
"GreaterManchester","North West","2017-02-01","Feb",2017,"Q1_2017",0,116,24,0,4,8,1,6,7,15,2,65,26
"Gwent","Cymru/Wales","2017-02-01","Feb",2017,"Q1_2017",1,29,2,6,1,8,0,3,6,4,2,12,4
"Hampshire","Oxfordshire","2017-02-01","Feb",2017,"Q1_2017",1,37,3,2,0,8,1,6,4,5,0,16,9
"Hertfordshire","Thames and Chiltern","2017-02-01","Feb",2017,"Q1_2017",1,50,1,0,1,7,8,7,3,19,2,28,18
"Humberside","Yorkshire and Humberside","2017-02-01","Feb",2017,"Q1_2017",0,40,11,6,0,9,3,2,1,5,1,7,5
"Kent","South East","2017-02-01","Feb",2017,"Q1_2017",1,95,9,1,2,15,5,2,7,6,3,11,24
"Lancashire","North West","2017-02-01","Feb",2017,"Q1_2017",2,56,2,4,0,15,3,6,4,15,1,31,14
"Leicestershire","East Midlands","2017-02-01","Feb",2017,"Q1_2017",0,43,6,3,3,4,2,7,2,6,2,16,15
"Lincolnshire","East Midlands","2017-02-01","Feb",2017,"Q1_2017",0,19,1,5,0,11,1,1,0,5,2,29,12
"Merseyside","Mersey-Cheshire","2017-02-01","Feb",2017,"Q1_2017",1,71,16,4,0,27,1,9,14,17,5,58,12
"Metropolitan and City","Greater London","2017-02-01","Feb",2017,"Q1_2017",12,668,68,36,29,129,44,68,89,152,14,150,184
"Norfolk","East of England","2017-02-01","Feb",2017,"Q1_2017",0,33,3,3,0,9,0,6,0,4,0,3,6
"Northamptonshire","East Midlands","2017-02-01","Feb",2017,"Q1_2017",0,30,0,2,1,5,1,2,2,2,0,12,13
"Northumbria","North East","2017-02-01","Feb",2017,"Q1_2017",0,108,21,7,4,28,5,15,2,25,2,50,16
"North Wales","Cymru/Wales","2017-02-01","Feb",2017,"Q1_2017",0,31,4,0,0,4,0,3,1,7,0,11,6
"North Yorkshire","Yorkshire and Humberside","2017-02-01","Feb",2017,"Q1_2017",0,27,2,5,3,8,0,2,2,12,0,11,8
"Nottinghamshire","East Midlands","2017-02-01","Feb",2017,"Q1_2017",0,69,14,2,1,16,1,8,1,10,2,15,22
"South Wales","Cymru/Wales","2017-02-01","Feb",2017,"Q1_2017",1,110,14,8,0,14,6,13,4,16,2,38,15
"South Yorkshire","Yorkshire and Humberside","2017-02-01","Feb",2017,"Q1_2017",3,61,2,4,4,9,0,10,3,8,1,20,20
"Staffordshire","West Midlands","2017-02-01","Feb",2017,"Q1_2017",0,61,4,4,0,16,1,6,3,9,0,22,13
"Suffolk","East of England","2017-02-01","Feb",2017,"Q1_2017",0,26,1,2,0,0,2,1,4,2,0,2,2
"Surrey","South East","2017-02-01","Feb",2017,"Q1_2017",0,27,8,1,0,3,11,3,0,6,2,7,9
"Sussex","South East","2017-02-01","Feb",2017,"Q1_2017",0,33,17,2,2,4,2,2,1,8,5,18,15
"Thames Valley","Thames and Chiltern","2017-02-01","Feb",2017,"Q1_2017",1,105,15,12,3,18,6,8,7,5,5,50,36
"Warwickshire","West Midlands","2017-02-01","Feb",2017,"Q1_2017",0,22,7,1,0,8,2,3,1,7,1,20,9
"West Mercia","West Midlands","2017-02-01","Feb",2017,"Q1_2017",1,47,14,4,1,18,0,2,1,3,0,21,10
"West Midlands","West Midlands","2017-02-01","Feb",2017,"Q1_2017",1,164,26,12,15,39,10,22,15,34,13,56,79
"West Yorkshire","Yorkshire and Humberside","2017-02-01","Feb",2017,"Q1_2017",0,121,29,2,3,30,5,15,13,22,4,41,36
"Wiltshire","Oxfordshire","2017-02-01","Feb",2017,"Q1_2017",1,21,0,1,0,3,0,0,3,5,3,4,7
"Avon and Somerset","South West","2017-03-01","Mar",2017,"Q1_2017",0,87,13,12,0,13,5,12,7,16,4,33,23
"Bedfordshire","Thames and Chiltern","2017-03-01","Mar",2017,"Q1_2017",0,26,1,2,2,12,1,6,0,5,1,23,19
